phosphate_weight,base_stacking_weight,metal_coordination_weight,objective,top1_accuracy,mean_score_error,mean_expected_contact_hit_fraction,mean_expected_contact_specificity,mean_top_pose_rmsd_to_reference,mean_best_decoy_rmsd_to_reference,mean_reference_best_decoy_margin,mean_decoy_margin_penalty,mean_threatening_decoy_clash_penalty,mean_active_aptamer_term_count,mean_reference_rank,case_summaries
-0.080000,-0.500000,-0.100000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.500000,-0.220000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.500000,-0.350000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.350000,-0.100000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.703604,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.350000,-0.220000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.703604,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.350000,-0.350000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.703604,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.250000,-0.100000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.685607,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.686;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.250000,-0.220000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.685607,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.686;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.250000,-0.350000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.685607,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.686;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.150000,-0.100000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.667611,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.668;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.150000,-0.220000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.667611,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.668;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.080000,-0.150000,-0.350000,0.087474,1.000000,0.349895,1.000,0.250,0.000,8.224,26.667611,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.668;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.500000,-0.100000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.500000,-0.220000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.500000,-0.350000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.731;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.350000,-0.100000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.703594,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.350000,-0.220000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.703594,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
-0.120000,-0.350000,-0.350000,0.097549,1.000000,0.390196,1.000,0.250,0.000,8.224,26.703594,0.000000,0.000000,2.000000,1.000000,case=t6-thrombin-vina;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=4q9r-spinach-2zy;rank=1;top=mode:1;decoys=10;margin=26.704;topRMSD=0.000;bestDecoyRMSD=8.224;contactSpec=0.250;clashPen=0.000 | case=1fmn-fmn-riboswitch;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a | case=1fmn-fmn-riboswitch-mg;rank=1;top=mode:1;decoys=0;margin=n/a;topRMSD=0.000;bestDecoyRMSD=n/a;contactSpec=n/a;clashPen=n/a
